1 4 0 1 4 0 0 0 0 | 10 10 -49.292 10 
0 1 3 1 3 0 0 0 0 | -52.3784 10 10 10 
1 1 0 0 2 0 0 0 0 | 10 10 10.7535 10 
0 0 1 1 1 3 0 0 0 | 10 -56 10 10 
1 1 4 1 0 0 0 0 0 | -50.9 10 10 10 
2 0 4 1 4 0 3 0 0 | 10 7 10 10 
0 1 0 4 0 3 0 0 0 | -50.9 10 10 10 
3 4 0 4 1 2 0 0 0 | 10 3.4 10 10 
0 1 0 0 1 0 3 0 0 | 10 10 10 -53.0777 
4 3 0 1 0 0 1 0 0 | 3.4 10 10 10 
0 4 1 0 0 0 0 1 0 | 10 10 10 8.5 
0 1 2 0 3 0 0 2 0 | -56 10 10 10 
2 0 2 1 3 0 0 0 0 | 10 34 10 10 
3 0 1 0 2 0 0 4 0 | 10 -46.9352 10 10 
3 1 0 0 3 0 0 3 0 | 10 10 12.1 10 
2 3 0 1 0 0 0 3 0 | 10 10 -56 10 
3 0 2 2 1 0 0 0 0 | 10 10 48.2618 10 
0 3 1 1 0 0 0 0 4 | 10 10 10 8.5 
0 4 0 0 1 2 0 0 0 | 3.4 10 10 10 
1 1 1 0 1 0 0 0 0 | 10 -56 10 10 
1 0 3 1 1 0 2 0 0 | 10 3.4 10 10 
1 1 4 0 3 0 1 0 0 | 10 10 10 11.9914 
1 0 0 1 3 0 2 0 0 | 10 3.4 10 10 
4 1 0 1 0 0 2 0 0 | -50.9 10 10 10 
4 0 3 4 1 0 0 0 0 | 10 6.9109 10 10 
4 4 1 4 0 0 0 0 4 | 10 10 20.74 10 
1 0 1 0 3 0 0 2 0 | 10 -49.3577 10 10 
0 1 0 0 0 0 4 0 0 | 10 10 10 5.35024 
2 0 3 1 2 0 0 0 0 | 3.4 10 10 10 
2 2 1 1 0 0 0 0 0 | 10 10 -48.2658 10 
0 1 0 4 3 0 0 0 0 | -50.9 10 10 10 
4 0 1 1 0 4 0 0 0 | 10 -54.9541 10 10 
3 1 0 0 1 0 0 4 0 | 10 5.49846 10 10 
1 0 1 2 3 0 0 0 0 | 10 10 10 8.5 
1 0 1 0 0 0 0 2 0 | 17.9618 10 10 10 
0 0 3 4 1 2 0 0 0 | 10 3.4 10 10 
0 4 1 0 2 0 0 4 0 | 10 10 3.4 10 
1 1 0 0 3 0 4 0 0 | 10 3.4 10 10 
0 0 3 1 0 0 1 0 0 | 10 10 -55.6559 10 
0 1 2 4 0 0 1 0 0 | 10 -9.971 10 10 
2 1 0 2 0 0 0 1 0 | -45.1898 10 10 10 
3 0 3 0 1 0 0 4 0 | 10 10 10 -45.4897 
2 1 0 4 2 0 0 0 0 | 10 16.9408 10 10 
0 2 2 1 1 0 0 0 0 | 10 10 10 -52.6975 
