2 4 3 4 1 0 0 1 0 | 10 34.5494 10 10 
3 2 1 4 4 0 2 0 0 | 23.5699 10 10 10 
3 2 4 3 1 0 2 0 0 | 10 1.94859 10 10 
4 2 1 3 3 1 0 0 0 | 10 10 10 3.07576 
2 2 2 2 1 0 0 0 3 | 10 13.5042 10 10 
2 4 1 2 2 0 0 1 0 | 10 -55.9029 10 10 
3 2 3 1 1 0 0 4 0 | 10 1.66049 10 10 
2 1 2 3 1 4 0 0 0 | -44.6929 10 10 10 
3 2 1 2 1 4 0 0 0 | 32.3255 10 10 10 
3 3 1 3 4 0 4 0 0 | 10 -52.7682 10 10 
1 1 4 2 3 0 0 0 1 | 10 10 10 -12.5268 
2 4 1 0 2 0 0 2 0 | 10 10 4.92997 10 
2 1 3 4 0 0 4 0 0 | 10 10 7.8837 10 
2 1 1 1 2 0 0 2 0 | -79.9299 10 10 10 
1 3 4 1 4 0 2 0 0 | 10 10 -37.8147 10 
4 3 3 2 1 0 1 0 0 | 10 10 6.80838 10 
2 1 2 4 4 0 0 0 2 | 10 10 10 5.43967 
4 1 3 2 4 0 0 1 0 | 10 12.2477 10 10 
2 3 1 4 1 0 0 0 3 | 10 -54.7706 10 10 
2 1 1 3 3 3 0 0 0 | 10 10 4.48975 10 
2 2 1 0 3 4 0 0 0 | 3.4 10 10 10 
2 0 1 3 4 0 0 4 0 | 10 10 8.49434 10 
1 1 1 4 0 0 3 0 0 | 10 10 9.27743 10 
4 2 4 3 1 0 3 0 0 | 2.2131 10 10 10 
4 3 2 1 1 4 0 0 0 | 7.03777 10 10 10 
2 0 2 1 4 0 0 0 1 | 10 7.68166 10 10 
2 2 2 3 1 0 0 0 4 | 4.84499 10 10 10 
1 1 0 4 1 4 0 0 0 | 10 10 10 -53.8657 
1 3 1 4 2 0 4 0 0 | 34.903 10 10 10 
4 0 1 0 3 0 0 0 4 | 10 10 10 24.1977 
3 1 3 3 3 0 0 0 1 | 10 11.0442 10 10 
4 1 4 1 1 0 0 2 0 | -35.3574 10 10 10 
1 1 4 1 3 0 0 0 2 | -55.3185 10 10 10 
1 1 0 3 4 0 0 0 2 | 10 10 4.48611 10 
3 2 1 2 1 0 0 0 3 | 10 -53.2796 10 10 
3 0 2 1 3 0 4 0 0 | 10 10 10 12.1415 
1 1 2 1 0 0 0 4 0 | 10 17.8295 10 10 
4 1 3 1 2 0 4 0 0 | 10 7.38325 10 10 
4 4 4 1 4 0 0 4 0 | 10 10 -47.9055 10 
1 1 0 3 0 0 0 4 0 | 10 2.38565 10 10 
2 2 1 0 2 4 0 0 0 | 10 10 3.13293 10 
4 3 3 4 1 2 0 0 0 | 1.4344 10 10 10 
2 4 1 1 4 0 0 2 0 | 6.95137 10 10 10 
1 4 2 1 4 1 0 0 0 | 10 10 -56.1887 10 
4 2 4 0 1 0 0 0 4 | 10 10 10 -52.2992 
2 3 1 2 4 0 0 1 0 | 3.24149 10 10 10 
